Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,P120 Universitaria - PVH,ALMACÉN FRESCOS,202501,125959,613081,4.8673051075268825,140586.02746030953,661270,4.360899095559736,133891,632795,4.7261760752688176,4.5,5.5,4.5,5.5
Export,P122 Ica - PVH,FRESCOS,202505,125765,939980,7.474099462365592,148034.28625825926,888599,6.349747438644848,140985,872281,6.187049731182796,9.0,8.0,7.0,8.5
Export,P114 Pro - PVH,,202503,125699,10029563,79.79012096774191,115153.9461605359,9742404,87.09700001090545,109670,9417922,85.30492607526881,,,,
Export,V290 Asia - VIV,CAJAS,202501,125561,4807853,38.29103494623656,108170.2443592173,4226960,44.44709188262381,103019,4061337,39.42307795698925,38.0,43.0,42.0,40.0
Export,V094 Benavides - VIV,CAJAS,202506,125339,3113046,24.837020833333334,134847.3713136221,3071716,23.08570215106243,128426,2960686,23.053624999999997,28.0,29.0,29.5,29.0
Export,P064 Miraflores - PVH,ELECTRO,202505,125272,188169,1.5020833333333337,158422.87492301824,245492,1.187761111464717,150879,242028,1.6041196236559143,2.0,2.5,2.0,2.0
Export,1199 San Miguel - PVH,ELECTRO,202506,124972,357061,2.857118055555556,173329.0929066426,484516,2.0600149923609057,165075,571401,3.451194444444445,3.0,4.0,3.5,3.0
Export,P139 Alameda Sur - PVS,FRESCOS,202502,124629,1347684,10.813541666666667,113877.71044732622,1335158,11.834488370956205,108455,1347487,12.424396551724142,14.5,16.0,14.5,12.5
Export,P010 Caminos del Inca - PVS,ELECTRO,202503,124526,116294,0.9338978494623656,493002.5711472927,116540,0.2358898448123005,469526,116668,0.24848118279569895,2.0,2.0,0.5,1.0
Export,P130 Chimbote - PVH,ALMACÉN FRESCOS,202503,124401,538409,4.328004032258065,126034.54219641606,554388,4.27191824254756,120033,564050,4.699126344086022,5.0,5.0,5.0,5.0
Export,P201 Huaral - PVH,ALMACÉN FRESCOS,202501,124360,299464,2.4080376344086023,101429.7589191306,286878,2.9524298705941048,96600,278496,2.8829838709677422,3.0,3.0,3.0,3.0
Export,SO04 Jaen - PVO,,202501,123974,6646599,53.268306451612915,122760.96726608484,6651407,54.14261110857388,116915,6153288,52.48555779569893,,1.0,1.0,
Export,V094 Benavides - VIV,CAJAS,202505,123972,3181146,25.660127688172043,127500.41538201911,3165098,24.95008349948187,121429,3046403,25.08794354838709,28.0,29.0,29.5,29.5
Export,P125 SJ Lurigancho - PVH,,202503,123658,7417542,59.984495967741964,125470.2339300135,7764161,59.117944134363036,119495,7545730,63.146586021505385,,,,
