Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,2638 SJB Ayacucho - PVH,ALMACÉN,202605,752833,5215448,6.799502688172058,619045.8207428573,4333321,7,,,,7.0,,,7.0
Export,P010 Caminos del Inca - PVS,ALMACÉN FRESCOS,202604,752342,5103115,6.77249999999999,375324.9222347264,2660950,7.089724467686307,473229,4742597,9.973687499999999,8.5,8.5,10.0,8.0
Export,P516 Ilo - PVH,ALMACÉN,202605,752308,4839418,6.28386424731182,734145.947158757,4207470,5.731108056216166,696468,4206546,5.973333333333335,6.5,7.0,6.5,6.5
Export,P068 Primavera - PVH,ALMACÉN,202603,751728,5902810,5.249858870967743,1138546.322711111,5123458,4.5,715048,4032863,5.613595430107528,4.5,4.5,6.5,5.5
Export,V140 Libertadores - VIV,ALMACÉN,202605,749257,1567554,2.0921438172043003,735251.0890275912,1559486,2.1210248599053476,468916,1578822,3.366962365591398,2.5,2.5,3.5,2.0
Export,P106 Valle Hermoso - PVH,ALMACÉN,202604,747778,4799246,6.40572916666667,950210.0592707278,5944171,6.2556392361938,872799,4652225,5.294041666666666,7.5,7.5,6.5,6.5
Export,P068 Primavera - PVH,ALMACÉN,202602,746849,6028020,4.5125,928410.0897111112,4177845,4.5,567335,3289560,5.762395833333333,4.5,4.5,6.5,5.0
Export,V095 Monterrico - VIV,ALMACÉN,202602,745497,2624228,3.5201041666666666,572822.6392789625,2672936,4.666254691791765,540835,2721611,5.032239583333332,5.5,5.5,6.0,4.0
Export,P037 Jockey Plaza - PVH,ALMACÉN,202605,743639,4127509,5.533575268817205,930301.4075643846,4326858,4.651028373189411,1237119,4010413,3.2411693548387097,5.5,5.5,3.5,6.0
Export,P220 Trujillo Valcarcel - PVS,INVENTARIOS,202604,743245,693226,0.9327013888888889,,647584,,225207,612801,2.7210555555555556,,2.0,1.0,1.0
Export,P061 Cortijo - PVH,ALMACÉN,202603,742978,6147074,8.2591061827957,1072711.2559425987,7157861,6.6726818519400535,999044,6251768,6.215793010752689,8.0,8.0,7.0,8.5
Export,P010 Caminos del Inca - PVS,ALMACÉN FRESCOS,202605,741039,5203641,7.011948924731184,361879.20641960826,2565624,7.089724467686307,487269,4588999,9.370215053763442,8.5,8.5,10.0,8.0
Export,SO05 Tarapoto - PVO,ALMACÉN,202604,740529,5905168,7.66086805555555,1011413.1833045599,5796518,5.731108056216166,1170937,8014635,6.646888888888889,6.5,6.5,7.0,8.0
Export,P236 Pisco - PVH,ALMACÉN,202601,740336,4663806,6.299576612903225,746773.1865829333,3950620,5.290253590353384,800716,4470937,5.581135752688171,6.0,6.5,5.5,7.0
Export,P227 San Isidro - PVH,ALMACÉN,202601,739436,3538295,4.781122311827957,803994.0822954429,4023598,5.00451138895504,563771,3396213,5.985282258064517,6.0,6.0,6.5,5.5
Export,P059 Callao - PVH,ALMACÉN,202603,738094,4111730,5.570739247311828,598621.6570718137,3796645,6.34231141798556,718989,4112895,5.72038306451613,7.5,7.5,6.0,6.5
Export,2638 SJB Ayacucho - PVH,ALMACÉN,202602,736183,4234219,5.7421875,577795.9191857143,4044571,7,,,,7.0,,,6.0
Export,P180 Centro Trujillo - PVE,INVENTARIOS,202601,735882,498397,0.6772782258064515,,630041,,503766,409513,0.8129032258064517,,2.0,1.0,1.0
Export,SO05 Tarapoto - PVO,ALMACÉN,202605,734965,5937216,7.782654569892473,1052769.2928169118,6033535,5.731108056216166,1636055,8727402,5.123783602150539,6.5,6.5,7.0,7.0
