Export,Tienda,Área,Periodo,Prod,VtaNeta,JEq,ProdMeta,VtaNetaMeta,JEqMeta,ProdAA,VtaNetaAA,JEqAA,CAPO,CAPO AA,CAPE AA,CAPE
Export,SO03 Huanuco - PVO,CAJAS,202508,366693,8367553,22.81896505376344,373552.11636413424,7986078,22.39996076435933,355764,7824143,21.99251344086021,24.5,24.5,27.0,28.5
Export,P115 Huancayo - PVH,ABARROTES,202507,366417,5839399,15.93647849462366,411343.81385738635,6602990,14.195909269282291,391756,6368513,16.256323924731184,15.0,14.0,16.5,17.0
Export,P109 Dasso - PVS,ABARROTES,202509,366119,2991638,8.136576388888889,378862.7358011402,3323476,7.896362896904882,360822,3147856,8.671104166666668,9.5,9.5,10.0,11.0
Export,P724 Tumbes - PVH,ABARROTES,202508,365920,5099344,12.079422043010753,459598.38936953875,4555997,11.095217472356909,437713,4943402,10.256081989247313,13.5,11.5,11.0,13.5
Export,P107 Mercaderes - PVS,ALMACÉN FRESCOS,202507,365833,708203,1.935866935483871,235620.106165405,781116,3.00569901068987,224400,750290,3.34353494623656,3.0,4.0,3.0,3.0
Export,P109 Dasso - PVS,ABARROTES,202507,365297,2952815,8.036028225806453,326828.0250788582,3207148,9.034767686423264,311265,3008106,9.664139784946236,9.5,9.5,10.5,10.0
Export,P220 Trujillo Valcarcel - PVS,ABARROTES,202507,364737,656306,1.7993951612903227,0,698925,Infinity,,698725,,,,,
Export,P001 Los Olivos - PVH,ABARROTES,202508,364593,3548849,9.733716397849463,385380.21744181385,4121527,9.208694606997616,367029,3879132,10.569012096774195,13.0,11.5,10.5,11.5
Export,P224 Brena - PVH,ABARROTES,202507,364459,4389427,12.043669354838709,355918.92073569156,4990766,12.332660626546533,338970,4744246,13.996048387096776,13.0,11.0,13.0,13.0
Export,P147 Juliaca - PVH,ELECTRO,202512,364261,1422620,3.906263440860206,357118.7414197572,1433651,3.983604597015124,340113,1415899,4.163024193548387,2.5,2.5,4.0,4.0
Export,SO02 Pucallpa - PVO,CAJAS,202512,363695,12535932,34.468225806451635,385321.02857745555,11863308,32.53373561334217,366972,12766573,34.788918010752695,37.0,37.0,37.0,33.5
Export,P109 Dasso - PVS,ABARROTES,202508,363505,3137699,8.584831989247315,358275.4337350485,3402417,8.757784527086466,341215,3200642,9.380141129032259,9.5,9.5,10.0,11.0
Export,P144 Huacho - PVH,ELECTRO,202508,363364,953795,2.6249059139784947,353544.90166566195,882883,2.69780476399566,336709,998511,2.9654973118279573,2.5,2.5,3.0,3.0
Export,P114 Pro - PVH,ELECTRO,202510,362988,2088539,5.753736559139785,295354.6442128756,2303060,7.071292396860686,281290,1614336,5.733319892473119,7.0,7.0,7.0,7.0
Export,P130 Chimbote - PVH,ELECTRO,202511,362980,1547890,4.268833333333333,266353.5184170209,1206249,5.811411875462894,253670,1144707,4.505569444444444,6.0,6.0,4.5,4.5
Export,P107 Mercaderes - PVS,ALMACÉN FRESCOS,202510,362886,717624,1.977547043010753,362817.46146892174,799465,1.9779205143396066,345540,765997,2.2168077956989247,3.0,4.0,2.5,2.0
Export,V290 Asia - VIV,ALMACÉN,202511,362726,433301,1.1945694444444446,3352876.3619999997,674068,0.1292327462207806,3193216,620903,0.19444444444444448,1.0,1.0,1.0,1.0
Export,V290 Asia - VIV,INVENTARIOS,202508,362383,311068,0.8583938172043009,568079.152830189,402405,0.5475780416342523,541028,388493,0.7180645161290322,1.0,1.0,1.0,1.0
Export,P231 Ventanilla - PVH,CAJAS,202512,362188,10247976,28.29463037634408,319622.78410744265,10163310,32.06272143150813,304403,9519432,31.2725,32.0,34.5,33.0,31.5
Export,P048 Higuereta - PVH,ALMACÉN FRESCOS,202512,362095,3117643,8.20223118279568,232999.489658492,3154988,13.380469736519755,221904,3005488,13.487184139784947,11.5,12.5,14.0,9.0
Export,P172 Puno - PVH,ABARROTES,202511,362006,4993509,11.62038888888889,378290.12295683415,4066381,13.200209117196003,360276,4383869,10.798618055555558,11.0,13.5,11.0,13.5
Export,SO05 Tarapoto - PVO,ELECTRO,202508,361948,1688718,4.665631720430107,415604.8628348505,1579360,4.063276662552065,395814,1718280,4.341129032258064,4.0,4.0,5.0,5.0
Export,P224 Brena - PVH,ABARROTES,202508,361583,4552474,12.590403225806451,382775.57756020187,4989470,11.893323678112665,364548,4757256,13.0497311827957,13.0,12.0,13.5,14.5
Export,P130 Chimbote - PVH,CAJAS,202507,361574,5460495,15.102029569892476,315768.5043310553,6187683,17.292715534020314,300732,6073705,20.19641129032258,23.0,24.5,24.5,18.0
Export,P133 Guardia Civil - PVH,ABARROTES,202510,361566,4266725,11.800692204301075,386962.04424934,4975696,11.026211364675149,368535,4302048,11.530759408602155,14.5,12.5,12.5,14.0
Export,P192 Sullana - PVH,CAJAS,202512,361519,4179113,11.55987903225806,294646.93939699954,4477468,14.183459358351497,280616,3895504,13.88196908602151,11.0,13.5,15.5,12.0
Export,P723 Puruchuco - PVH,ELECTRO,202511,361055,2322035,6.43125,331809.904189044,1840020,6.998087431040193,316009,1716195,5.430833333333334,4.0,4.0,7.0,7.0
Export,P227 San Isidro - PVH,ABARROTES,202511,361010,3751359,10.322083333333333,430639.2812346704,4090120,8.71114044507183,410133,3316998,7.7294583333333335,11.0,10.5,9.0,10.5
Export,V290 Asia - VIV,INVENTARIOS,202509,360808,270789,0.7505069444444444,358987.689000987,363507,0.7543115218061293,341893,303112,0.8865694444444445,1.0,1.0,1.0,1.0
Export,P106 Valle Hermoso - PVH,ALMACÉN FRESCOS,202511,360797,2754150,7.614833333333334,347968.8678249395,2741043,7.914932957121877,331399,2658220,7.957250000000001,9.0,8.5,8.5,8.0
Export,P262 Talara Municipalidad - PVH,CAJAS,202511,360581,4749150,13.17084027777778,257695.7916346313,4660473,18.42928757150014,245425,4515510,18.398770833333334,17.0,21.5,22.0,16.0
Export,P236 Pisco - PVH,ELECTRO,202507,359936,1006457,2.795907258064516,408640.00469710486,994456,2.4629427819873224,389181,1128795,2.9004368279569896,2.5,2.5,3.0,3.0
Export,P172 Puno - PVH,ABARROTES,202509,359296,4192739,10.543652777777778,440651.23965934094,3947060,9.514869862255072,419668,4129439,8.927138888888889,11.0,10.5,10.5,11.5
